Eguna	Hilab	Urtea	Tokia	Tmax	Tmin	Tmean	Vmax	Euria
7	3	2021	Donostia	10.7	7.5	9.1	12.0	2.5
7	3	2021	Bilbo	9.6	5.3	7.5	9.0	0.0
7	3	2021	Gasteiz	6.8	5.0	5.9	13.0	0.0
7	3	2021	Iruña	13.6	4.9	9.3	31.0	0.4
7	3	2021	Alforja	13.7	5.0	9.3	10.0	1.2
7	3	2021	Reus	16.0	8.3	12.2	17.0	0.0
7	3	2021	Tarragona	14.7	9.1	11.9	0.0	0.0
7	3	2021	Vigo	15.7	4.8	10.3	25.0	0.0
2	10	2021	Donostia	28.5	13.5	21.0	35.0	0.0
2	10	2021	Bilbo	27.1	12.2	19.7	38.0	0.0
2	10	2021	Gasteiz	23.0	5.7	14.3	28.0	0.0
2	10	2021	Iruña	25.5	7.6	16.5	35.0	0.0
2	10	2021	Reus	26.7	17.5	22.1	19.0	0.0
2	10	2021	Tarragona	25.7	17.6	21.7	0.0	0.0
2	10	2021	Vigo	18.8	15.7	17.2	36.0	13.1
15	5	2021	Donostia	17.6	12.9	15.3	14.0	1.0
15	5	2021	Bilbo	18.9	12.0	15.4	16.0	0.7
15	5	2021	Gasteiz	19.1	10.5	14.8	41.0	0.8
15	5	2021	Iruña	21.2	9.4	15.3	13.0	2.0
15	5	2021	Alforja	23.2	11.6	17.4	0.0	0.0
15	5	2021	Reus	23.2	11.6	17.4	22.0	0.0
15	5	2021	Tarragona	21.6	13.5	17.6	0.0	0.0
15	5	2021	Vigo	16.0	12.7	14.3	30.0	20.6
1	9	2021	Donostia	23.6	17.0	20.3	13.0	1.9
1	9	2021	Bilbo	26.9	15.5	21.2	22.0	0.1
1	9	2021	Gasteiz	26.0	14.8	20.4	16.0	3.0
1	9	2021	Iruña	24.9	16.2	20.6	24.0	14.4
1	9	2021	Reus	24.3	19.9	22.1	24.0	4.1
1	9	2021	Tarragona	24.0	19.7	21.9	0.0	5.4
1	9	2021	Vigo	24.0	16.1	20.1	22.0	0.3
25	2	2021	Donostia	18.9	12.8	15.8	24.0	0.0
25	2	2021	Bilbo	16.4	12.0	14.2	22.0	0.0
25	2	2021	Gasteiz	13.5	4.2	8.8	15.0	0.0
25	2	2021	Iruña	16.0	4.7	10.3	13.0	0.0
25	2	2021	Alforja	13.0	7.8	10.4	8.0	0.0
25	2	2021	Reus	17.1	8.2	12.7	15.0	0.0
25	2	2021	Tarragona	16.3	10.6	13.4	0.0	0.0
25	2	2021	Vigo	11.9	7.8	9.8	21.0	3.1
24	3	2021	Donostia	15.8	4.5	10.2	19.0	0.0
24	3	2021	Bilbo	15.8	1.7	8.8	19.0	0.0
24	3	2021	Gasteiz	18.9	-4.2	7.3	28.0	0.0
24	3	2021	Iruña	19.7	-1.2	9.3	27.0	0.0
24	3	2021	Alforja	18.7	2.7	10.7	13.0	0.0
24	3	2021	Reus	18.1	7.5	12.8	0.0	0.0
24	3	2021	Tarragona	18.1	7.5	12.8	0.0	0.0
24	3	2021	Vigo	15.5	6.0	10.8	23.0	0.0
17	9	2021	Donostia	25.4	14.3	19.8	19.0	0.5
17	9	2021	Bilbo	25.9	13.0	19.4	18.0	0.4
17	9	2021	Gasteiz	27.4	8.4	17.9	23.0	0.1
17	9	2021	Iruña	28.5	9.1	18.8	28.0	0.8
17	9	2021	Reus	29.2	16.3	22.8	26.0	0.0
17	9	2021	Tarragona	28.6	18.3	23.4	0.0	0.0
17	9	2021	Vigo	19.0	13.4	16.2	19.0	7.8
4	11	2021	Donostia	12.0	8.5	10.3	23.0	28.1
4	11	2021	Bilbo	12.1	7.9	10.0	22.0	55.7
4	11	2021	Gasteiz	9.4	3.9	6.6	24.0	1.0
4	11	2021	Iruña	11.0	4.4	7.7	21.0	0.2
4	11	2021	Alforja	13.6	5.8	9.7	28.0	0.0
4	11	2021	Reus	17.2	4.1	10.7	28.0	0.0
4	11	2021	Tarragona	18.5	6.9	12.7	0.0	0.0
4	11	2021	Vigo	13.7	3.7	8.7	20.0	0.0
26	9	2021	Donostia	24.8	15.1	19.9	14.0	0.0
26	9	2021	Bilbo	25.9	14.3	20.1	19.0	0.0
26	9	2021	Gasteiz	23.6	11.0	17.3	23.0	0.0
26	9	2021	Iruña	25.0	11.1	18.1	14.0	0.0
26	9	2021	Reus	30.1	17.5	23.8	23.0	0.0
26	9	2021	Tarragona	31.0	19.0	25.0	0.0	0.0
26	9	2021	Vigo	20.5	15.2	17.8	27.0	0.0
6	4	2021	Donostia	12.9	7.5	10.2	18.0	0.3
6	4	2021	Bilbo	11.7	7.8	9.8	22.0	1.1
6	4	2021	Gasteiz	9.4	3.4	6.4	27.0	0.0
6	4	2021	Iruña	11.4	3.0	7.2	43.0	0.0
6	4	2021	Alforja	19.2	7.5	13.4	37.0	0.0
6	4	2021	Reus	21.6	8.9	15.3	37.0	0.0
6	4	2021	Tarragona	19.3	8.5	13.9	0.0	0.0
6	4	2021	Vigo	21.3	7.5	14.4	19.0	0.0
29	1	2021	Donostia	16.5	10.5	13.5	12.0	7.1
29	1	2021	Bilbo	19.7	10.4	15.1	19.0	4.2
29	1	2021	Gasteiz	17.9	8.2	13.0	0.0	0.0
29	1	2021	Iruña	17.9	8.2	13.0	19.0	0.0
29	1	2021	Alforja	19.5	13.1	16.3	24.0	0.0
29	1	2021	Reus	22.2	14.1	18.2	37.0	0.0
29	1	2021	Tarragona	23.4	13.1	18.3	16.0	0.0
29	1	2021	Vigo	12.6	11.4	12.0	39.0	15.6
8	11	2021	Donostia	14.5	11.8	13.2	22.0	0.0
8	11	2021	Bilbo	16.2	9.8	13.0	20.0	0.3
8	11	2021	Gasteiz	13.4	6.7	10.0	28.0	0.0
8	11	2021	Iruña	13.8	8.0	10.9	43.0	0.0
8	11	2021	Alforja	18.0	8.1	13.1	32.0	0.0
8	11	2021	Reus	21.7	3.8	12.8	28.0	0.0
8	11	2021	Tarragona	21.6	7.4	14.5	0.0	0.0
8	11	2021	Vigo	18.5	8.5	13.5	22.0	0.0
30	11	2021	Donostia	15.2	8.3	11.8	16.0	0.7
30	11	2021	Bilbo	15.9	7.4	11.6	13.0	4.8
30	11	2021	Gasteiz	12.3	0.8	6.6	14.0	0.1
30	11	2021	Iruña	9.9	0.9	5.4	8.0	0.4
30	11	2021	Alforja	12.9	2.3	7.6	21.0	0.0
30	11	2021	Reus	16.0	2.0	9.0	22.0	0.0
30	11	2021	Tarragona	15.9	5.0	10.4	0.0	0.0
30	11	2021	Vigo	14.9	5.5	10.2	12.0	0.0
25	9	2021	Donostia	28.7	19.4	24.1	21.0	5.3
25	9	2021	Bilbo	27.4	16.2	21.8	23.0	2.2
25	9	2021	Gasteiz	24.1	13.8	19.0	31.0	0.6
25	9	2021	Iruña	26.8	15.8	21.3	38.0	2.6
25	9	2021	Reus	28.5	20.2	24.4	17.0	0.0
25	9	2021	Tarragona	27.6	20.6	24.1	0.0	0.0
25	9	2021	Vigo	21.6	14.4	18.0	19.0	1.3
22	2	2021	Donostia	12.1	8.4	10.3	21.0	42.2
22	2	2021	Bilbo	12.5	7.5	10.0	22.0	14.9
22	2	2021	Gasteiz	8.5	2.6	5.5	25.0	14.3
22	2	2021	Iruña	13.3	0.1	6.7	32.0	36.4
22	2	2021	Alforja	12.3	7.0	9.7	19.0	10.6
22	2	2021	Reus	15.6	10.9	13.3	0.0	0.0
22	2	2021	Tarragona	15.6	10.9	13.3	0.0	11.8
22	2	2021	Vigo	13.9	2.8	8.3	24.0	0.0
27	7	2021	Donostia	24.7	16.2	20.5	13.0	0.1
27	7	2021	Bilbo	23.0	13.8	18.4	18.0	0.0
27	7	2021	Gasteiz	24.7	9.2	17.0	31.0	0.0
27	7	2021	Iruña	28.8	10.5	19.6	33.0	0.1
27	7	2021	Alforja	30.3	17.4	23.8	0.0	0.0
27	7	2021	Reus	30.3	17.4	23.8	18.0	0.0
27	7	2021	Tarragona	29.2	19.4	24.3	0.0	0.0
27	7	2021	Vigo	24.9	13.7	19.3	22.0	0.0
18	2	2021	Donostia	19.4	11.5	15.4	38.0	0.0
18	2	2021	Bilbo	19.5	8.4	13.9	24.0	0.4
18	2	2021	Gasteiz	16.8	2.6	9.7	46.0	0.0
18	2	2021	Iruña	17.9	9.7	13.8	25.0	0.0
18	2	2021	Alforja	14.6	3.4	9.0	9.0	0.0
18	2	2021	Reus	15.7	7.6	11.6	14.0	0.0
18	2	2021	Tarragona	14.5	8.3	11.4	0.0	0.0
18	2	2021	Vigo	13.0	8.1	10.6	38.0	50.3
6	8	2021	Donostia	23.1	17.3	20.2	16.0	8.9
6	8	2021	Bilbo	24.0	14.7	19.3	0.0	0.0
6	8	2021	Gasteiz	24.0	14.7	19.3	28.0	0.3
6	8	2021	Iruña	29.3	14.8	22.0	29.0	0.0
6	8	2021	Alforja	29.7	22.2	26.0	0.0	0.0
6	8	2021	Reus	29.7	22.2	26.0	25.0	0.0
6	8	2021	Tarragona	27.6	23.2	25.4	0.0	0.0
6	8	2021	Vigo	20.9	14.4	17.6	24.0	2.9
3	11	2021	Donostia	11.9	9.0	10.4	28.0	45.3
3	11	2021	Bilbo	12.2	8.7	10.4	21.0	19.7
3	11	2021	Gasteiz	9.7	3.6	6.6	25.0	1.5
3	11	2021	Iruña	10.4	5.2	7.8	28.0	0.1
3	11	2021	Alforja	15.0	8.0	11.5	34.0	0.2
3	11	2021	Reus	17.7	8.6	13.2	40.0	0.0
3	11	2021	Tarragona	19.9	10.4	15.1	0.0	0.0
3	11	2021	Vigo	13.2	6.3	9.8	23.0	4.9
10	1	2021	Donostia	4.1	0.3	2.2	14.0	0.0
10	1	2021	Bilbo	6.0	2.1	4.0	23.0	0.0
10	1	2021	Gasteiz	2.0	-0.7	0.7	22.0	0.6
10	1	2021	Iruña	0.8	-2.0	-0.6	30.0	1.6
10	1	2021	Alforja	2.6	0.2	1.4	29.0	24.0
10	1	2021	Reus	5.7	3.3	4.5	21.0	7.8
10	1	2021	Tarragona	5.9	3.9	4.9	11.0	10.6
10	1	2021	Vigo	9.7	3.6	6.6	36.0	0.0
16	9	2021	Donostia	22.7	17.4	20.1	14.0	30.8
16	9	2021	Bilbo	23.1	15.2	19.2	18.0	8.9
16	9	2021	Gasteiz	20.2	10.8	15.5	19.0	7.6
16	9	2021	Iruña	22.4	14.1	18.3	26.0	0.0
16	9	2021	Reus	29.5	20.0	24.8	21.0	0.4
16	9	2021	Tarragona	29.6	20.4	25.0	0.0	3.2
16	9	2021	Vigo	25.5	13.7	19.6	19.0	0.0
20	5	2021	Donostia	24.3	8.2	16.2	19.0	0.0
20	5	2021	Bilbo	24.6	7.3	16.0	21.0	0.0
20	5	2021	Gasteiz	25.3	0.7	13.0	29.0	0.0
20	5	2021	Iruña	26.0	2.8	14.4	15.0	0.0
20	5	2021	Alforja	22.6	10.7	16.7	0.0	0.0
20	5	2021	Reus	22.6	10.7	16.7	30.0	0.0
20	5	2021	Tarragona	22.1	11.0	16.6	0.0	0.0
20	5	2021	Vigo	22.5	10.3	16.4	22.0	0.0
26	6	2021	Donostia	23.8	17.7	20.8	19.0	0.0
26	6	2021	Bilbo	22.6	12.5	17.6	21.0	0.0
26	6	2021	Gasteiz	29.8	11.8	20.8	30.0	0.0
26	6	2021	Iruña	32.7	11.7	22.2	30.0	0.5
26	6	2021	Alforja	27.1	14.3	20.7	16.0	3.0
26	6	2021	Reus	28.6	18.4	23.5	19.0	1.3
26	6	2021	Tarragona	25.9	19.9	22.9	0.0	1.2
26	6	2021	Vigo	21.5	14.3	17.9	25.0	0.0
9	10	2021	Donostia	19.3	11.1	15.2	18.0	0.0
9	10	2021	Bilbo	20.2	7.8	14.0	18.0	0.0
9	10	2021	Gasteiz	16.6	0.6	8.6	20.0	0.0
9	10	2021	Iruña	19.2	4.0	11.6	26.0	0.0
9	10	2021	Reus	20.4	13.8	17.1	14.0	0.0
9	10	2021	Tarragona	19.8	15.6	17.7	0.0	5.0
9	10	2021	Vigo	22.6	13.4	18.0	13.0	0.0
8	4	2021	Donostia	23.3	3.1	13.2	24.0	0.0
8	4	2021	Bilbo	24.4	2.3	13.3	24.0	0.0
8	4	2021	Gasteiz	18.9	-3.2	7.8	21.0	0.0
8	4	2021	Iruña	19.1	-1.8	8.7	16.0	0.0
8	4	2021	Alforja	13.2	7.5	10.3	13.0	0.0
8	4	2021	Reus	16.1	7.3	11.7	19.0	0.0
8	4	2021	Tarragona	16.6	11.0	13.8	0.0	0.0
8	4	2021	Vigo	18.4	9.6	14.0	23.0	0.0
30	6	2021	Donostia	21.3	16.3	18.8	14.0	0.0
30	6	2021	Bilbo	21.9	15.5	18.7	16.0	0.0
30	6	2021	Gasteiz	24.4	12.5	18.4	28.0	0.0
30	6	2021	Iruña	29.4	9.4	19.4	31.0	0.0
30	6	2021	Alforja	21.4	16.8	19.1	10.0	7.0
30	6	2021	Reus	25.9	19.4	22.6	22.0	25.2
30	6	2021	Tarragona	25.8	21.9	23.8	0.0	0.8
30	6	2021	Vigo	22.0	10.9	16.4	24.0	0.0
22	3	2021	Donostia	14.2	7.1	10.6	21.0	0.0
22	3	2021	Bilbo	14.2	4.2	9.2	18.0	0.2
22	3	2021	Gasteiz	12.5	1.2	6.9	33.0	0.0
22	3	2021	Iruña	11.6	4.5	8.1	31.0	0.3
22	3	2021	Alforja	16.7	4.5	10.6	37.0	0.0
22	3	2021	Reus	19.7	5.7	12.7	40.0	0.0
22	3	2021	Tarragona	22.1	5.6	13.9	0.0	0.0
22	3	2021	Vigo	17.9	4.2	11.0	22.0	0.0
30	4	2021	Donostia	13.9	8.9	11.4	14.0	0.8
30	4	2021	Bilbo	12.2	7.3	9.8	16.0	0.4
30	4	2021	Gasteiz	10.9	5.6	8.2	21.0	0.7
30	4	2021	Iruña	14.0	6.8	10.4	28.0	0.0
30	4	2021	Alforja	20.7	13.7	17.2	0.0	0.0
30	4	2021	Reus	20.7	13.7	17.2	19.0	1.8
30	4	2021	Tarragona	20.5	14.8	17.7	0.0	0.0
30	4	2021	Vigo	15.4	4.8	10.1	27.0	0.0
2	3	2021	Donostia	19.8	13.6	16.7	40.0	0.0
2	3	2021	Bilbo	20.9	12.1	16.5	37.0	0.0
2	3	2021	Gasteiz	16.0	6.4	11.2	35.0	0.0
2	3	2021	Iruña	13.7	7.2	10.4	28.0	0.0
2	3	2021	Alforja	13.3	7.0	10.2	12.0	0.0
2	3	2021	Reus	15.0	8.8	11.9	22.0	0.0
2	3	2021	Tarragona	15.4	10.7	13.0	0.0	0.0
2	3	2021	Vigo	12.5	8.2	10.3	15.0	2.5
25	11	2021	Donostia	11.6	9.3	10.5	26.0	81.3
25	11	2021	Bilbo	10.8	7.5	9.2	28.0	62.1
25	11	2021	Gasteiz	7.3	4.3	5.8	0.0	0.0
25	11	2021	Iruña	7.3	4.3	5.8	24.0	10.6
25	11	2021	Alforja	10.4	4.4	7.4	22.0	4.8
25	11	2021	Reus	14.6	6.5	10.6	0.0	0.0
25	11	2021	Tarragona	14.6	6.5	10.6	0.0	3.8
25	11	2021	Vigo	13.1	5.5	9.3	26.0	2.6
7	2	2021	Donostia	12.2	6.7	9.4	19.0	9.7
7	2	2021	Bilbo	12.5	4.8	8.7	28.0	0.5
7	2	2021	Gasteiz	9.6	1.7	5.7	33.0	1.3
7	2	2021	Iruña	10.0	2.8	6.4	19.0	2.2
7	2	2021	Alforja	12.1	4.4	8.3	36.0	0.0
7	2	2021	Reus	16.1	8.5	12.3	0.0	0.0
7	2	2021	Tarragona	16.1	8.5	12.3	0.0	0.0
7	2	2021	Vigo	10.7	1.9	6.3	28.0	13.1
15	12	2021	Donostia	9.7	4.3	7.0	12.0	0.0
15	12	2021	Bilbo	13.5	1.4	7.4	12.0	0.0
15	12	2021	Gasteiz	5.4	-0.2	2.6	7.0	0.0
15	12	2021	Iruña	3.3	0.0	1.6	7.0	0.0
15	12	2021	Alforja	15.4	3.4	9.4	21.0	0.0
15	12	2021	Reus	18.3	2.2	10.2	14.0	0.0
15	12	2021	Tarragona	17.5	6.4	12.0	0.0	0.0
15	12	2021	Vigo	14.2	4.3	9.3	16.0	0.0
25	4	2021	Donostia	24.4	17.3	20.8	26.0	0.0
25	4	2021	Bilbo	21.4	13.8	17.6	34.0	1.5
25	4	2021	Gasteiz	16.7	9.6	13.2	22.0	0.8
25	4	2021	Iruña	20.1	9.4	14.8	32.0	0.6
25	4	2021	Alforja	22.3	9.0	15.6	0.0	0.0
25	4	2021	Reus	22.3	9.0	15.6	27.0	0.0
25	4	2021	Tarragona	22.1	10.7	16.4	0.0	0.4
25	4	2021	Vigo	20.1	11.9	16.0	17.0	14.2
22	1	2021	Donostia	17.6	7.4	12.5	40.0	16.5
22	1	2021	Bilbo	17.5	5.8	11.7	40.0	14.4
22	1	2021	Gasteiz	12.2	-0.3	5.9	48.0	6.3
22	1	2021	Iruña	11.6	0.7	6.2	61.0	9.3
22	1	2021	Alforja	12.3	6.3	9.3	40.0	8.6
22	1	2021	Reus	15.1	6.3	10.7	67.0	4.7
22	1	2021	Tarragona	15.3	8.9	12.1	26.0	6.4
22	1	2021	Vigo	10.9	7.5	9.2	39.0	10.1
16	5	2021	Donostia	16.4	13.8	15.1	30.0	7.8
16	5	2021	Bilbo	15.5	13.2	14.3	36.0	1.9
16	5	2021	Gasteiz	18.8	10.1	14.4	35.0	3.4
16	5	2021	Iruña	18.6	10.6	14.6	27.0	0.4
16	5	2021	Alforja	30.5	14.8	22.7	0.0	0.0
16	5	2021	Reus	30.5	14.8	22.7	39.0	0.0
16	5	2021	Tarragona	31.1	16.3	23.7	0.0	0.0
16	5	2021	Vigo	16.4	11.2	13.8	28.0	3.4
26	4	2021	Donostia	19.8	12.9	16.3	18.0	6.5
26	4	2021	Bilbo	17.1	12.9	15.0	15.0	0.6
26	4	2021	Gasteiz	15.8	8.8	12.3	17.0	1.5
26	4	2021	Iruña	14.6	10.4	12.5	22.0	3.6
26	4	2021	Alforja	15.0	9.9	12.4	10.0	5.6
26	4	2021	Reus	16.2	11.9	14.1	23.0	6.7
26	4	2021	Tarragona	16.6	12.4	14.5	0.0	7.2
26	4	2021	Vigo	18.9	11.5	15.2	22.0	0.0
7	8	2021	Donostia	22.7	17.0	19.9	24.0	3.1
7	8	2021	Bilbo	20.9	14.3	17.6	24.0	0.4
7	8	2021	Gasteiz	20.5	12.6	16.6	31.0	0.0
7	8	2021	Iruña	25.1	14.2	19.7	40.0	0.6
7	8	2021	Alforja	36.2	21.7	29.0	0.0	0.0
7	8	2021	Reus	36.2	21.7	29.0	25.0	0.0
7	8	2021	Tarragona	30.8	22.3	26.5	0.0	0.0
7	8	2021	Vigo	20.5	13.5	17.0	23.0	8.6
22	7	2021	Donostia	25.5	21.0	23.3	13.0	0.0
22	7	2021	Bilbo	24.8	18.9	21.8	22.0	0.0
22	7	2021	Gasteiz	37.3	18.5	27.9	31.0	0.0
22	7	2021	Iruña	38.8	17.6	28.2	23.0	0.0
22	7	2021	Alforja	34.1	16.8	25.4	12.0	0.0
22	7	2021	Reus	33.1	20.1	26.6	17.0	0.0
22	7	2021	Tarragona	30.2	20.5	25.4	0.0	0.0
22	7	2021	Vigo	20.5	15.6	18.1	21.0	0.0
2	7	2021	Donostia	25.7	18.4	22.1	21.0	0.0
2	7	2021	Bilbo	27.4	17.3	22.3	28.0	0.0
2	7	2021	Gasteiz	32.1	15.3	23.7	30.0	0.0
2	7	2021	Iruña	35.7	13.8	24.8	37.0	0.0
2	7	2021	Alforja	28.5	14.1	21.3	12.0	0.0
2	7	2021	Reus	28.9	18.7	23.8	18.0	0.0
2	7	2021	Tarragona	27.2	20.3	23.8	0.0	0.0
2	7	2021	Vigo	22.0	14.0	18.0	25.0	2.5
19	6	2021	Donostia	25.0	19.4	22.2	18.0	14.8
19	6	2021	Bilbo	25.6	16.5	21.1	26.0	3.8
19	6	2021	Gasteiz	26.2	14.9	20.6	24.0	2.3
19	6	2021	Iruña	26.9	15.3	21.1	26.0	6.9
19	6	2021	Alforja	28.7	20.8	24.8	0.0	0.0
19	6	2021	Reus	28.7	20.8	24.8	22.0	0.0
19	6	2021	Tarragona	26.7	21.3	24.0	0.0	0.0
19	6	2021	Vigo	17.5	12.3	14.9	25.0	0.5
18	6	2021	Donostia	23.8	16.2	20.0	15.0	0.0
18	6	2021	Bilbo	23.7	17.3	20.5	19.0	13.6
18	6	2021	Gasteiz	25.2	12.1	18.7	33.0	13.0
18	6	2021	Iruña	28.5	11.4	19.9	21.0	6.6
18	6	2021	Alforja	29.2	16.9	23.1	0.0	0.0
18	6	2021	Reus	29.2	16.9	23.1	18.0	0.0
18	6	2021	Tarragona	27.1	19.8	23.4	0.0	0.0
18	6	2021	Vigo	18.2	12.6	15.4	23.0	10.9
5	11	2021	Donostia	13.2	6.7	9.9	20.0	10.0
5	11	2021	Bilbo	12.6	6.6	9.6	17.0	12.6
5	11	2021	Gasteiz	9.1	4.1	6.6	26.0	7.7
5	11	2021	Iruña	10.9	4.5	7.7	33.0	0.4
5	11	2021	Alforja	14.6	5.1	9.9	27.0	0.0
5	11	2021	Reus	18.2	5.3	11.8	17.0	0.0
5	11	2021	Tarragona	18.2	6.9	12.6	0.0	0.0
5	11	2021	Vigo	14.9	5.4	10.1	21.0	0.0
4	3	2021	Donostia	16.9	7.0	11.9	14.0	0.0
4	3	2021	Bilbo	20.9	7.8	14.3	19.0	0.0
4	3	2021	Gasteiz	16.2	0.8	8.5	18.0	0.0
4	3	2021	Iruña	14.3	3.3	8.8	10.0	0.0
4	3	2021	Alforja	15.5	5.0	10.3	8.0	0.0
4	3	2021	Reus	16.2	7.4	11.8	13.0	0.0
4	3	2021	Tarragona	15.9	9.0	12.4	0.0	0.0
4	3	2021	Vigo	15.9	9.6	12.8	14.0	0.1
1	5	2021	Donostia	16.0	10.1	13.1	23.0	0.9
1	5	2021	Bilbo	15.6	7.9	11.8	32.0	0.0
1	5	2021	Gasteiz	12.6	4.1	8.4	27.0	0.0
1	5	2021	Iruña	14.4	4.9	9.6	37.0	0.1
1	5	2021	Alforja	21.2	11.0	16.1	0.0	0.0
1	5	2021	Reus	21.2	11.0	16.1	33.0	25.1
1	5	2021	Tarragona	22.5	11.9	17.2	0.0	32.2
1	5	2021	Vigo	15.8	5.2	10.5	27.0	0.0
28	7	2021	Donostia	23.2	18.4	20.8	14.0	0.0
28	7	2021	Bilbo	21.8	16.5	19.1	13.0	2.4
28	7	2021	Gasteiz	22.1	13.6	17.9	30.0	0.0
28	7	2021	Iruña	27.0	15.3	21.2	32.0	0.0
28	7	2021	Alforja	29.5	20.9	25.2	0.0	0.0
28	7	2021	Reus	29.5	20.9	25.2	27.0	0.0
28	7	2021	Tarragona	28.4	22.1	25.3	0.0	0.0
28	7	2021	Vigo	26.6	14.3	20.5	26.0	0.0
17	3	2021	Donostia	15.1	10.8	13.0	21.0	2.1
17	3	2021	Bilbo	15.3	8.2	11.8	22.0	0.6
17	3	2021	Gasteiz	13.0	5.7	9.3	30.0	0.0
17	3	2021	Iruña	13.5	6.7	10.1	47.0	0.0
17	3	2021	Alforja	21.7	5.5	13.6	33.0	0.0
17	3	2021	Reus	23.9	6.6	15.2	37.0	0.0
17	3	2021	Tarragona	26.0	7.6	16.8	0.0	0.0
17	3	2021	Vigo	23.2	8.4	15.8	27.0	0.0
16	11	2018	Donostia	22.7	9.8	16.3	16.0	0.0
16	11	2018	Bilbo	21.7	10.9	16.3	22.0	0.0
16	11	2018	Gasteiz	17.5	4.4	11.0	20.0	0.0
16	11	2018	Iruña	16.6	7.2	11.9	13.0	0.0
16	11	2018	Reus	20.5	13.2	16.8	22.0	0.0
16	11	2018	Tarragona	20.0	14.5	17.3	0.0	0.0
16	11	2018	Vigo	19.6	10.1	14.9	17.0	0.0
14	4	2018	Donostia	16.1	8.9	12.5	15.0	0.5
14	4	2018	Bilbo	19.5	9.4	14.4	18.0	0.0
14	4	2018	Gasteiz	17.5	7.9	12.7	18.0	0.3
14	4	2018	Iruña	14.1	6.3	10.2	0.0	0.0
14	4	2018	Alforja	14.1	6.3	10.2	10.0	1.0
14	4	2018	Reus	16.0	9.4	12.7	20.0	0.0
14	4	2018	Tarragona	15.8	11.3	13.6	9.0	1.2
14	4	2018	Vigo	16.4	6.5	11.4	30.0	0.0
11	6	2018	Donostia	21.5	15.6	18.6	18.0	3.6
11	6	2018	Bilbo	20.9	14.7	17.8	21.0	8.5
11	6	2018	Gasteiz	18.5	10.0	14.3	22.0	1.3
11	6	2018	Iruña	20.6	10.0	15.3	29.0	0.0
11	6	2018	Alforja	26.5	16.4	21.4	23.0	0.0
11	6	2018	Reus	30.3	19.1	24.7	31.0	0.0
11	6	2018	Tarragona	28.6	19.6	24.1	0.0	0.0
11	6	2018	Vigo	16.5	12.2	14.3	19.0	0.2
12	11	2018	Donostia	16.0	12.8	14.4	17.0	19.9
12	11	2018	Bilbo	14.0	11.7	12.8	17.0	17.6
12	11	2018	Gasteiz	15.6	10.5	13.1	16.0	11.8
12	11	2018	Iruña	18.5	10.6	14.6	36.0	24.2
12	11	2018	Reus	21.2	12.7	17.0	23.0	0.0
12	11	2018	Tarragona	21.1	14.0	17.6	0.0	0.0
12	11	2018	Vigo	14.6	5.9	10.3	19.0	0.0
9	10	2018	Donostia	20.4	11.0	15.7	13.0	0.0
9	10	2018	Bilbo	24.0	10.6	17.3	21.0	0.0
9	10	2018	Gasteiz	19.6	8.0	13.8	23.0	0.0
9	10	2018	Iruña	18.6	4.6	11.6	26.0	0.0
9	10	2018	Reus	23.8	12.6	18.2	32.0	99.5
9	10	2018	Tarragona	22.8	14.1	18.4	0.0	64.8
9	10	2018	Vigo	26.1	10.5	18.3	21.0	0.0
14	10	2018	Donostia	27.1	13.7	20.4	37.0	24.9
14	10	2018	Bilbo	25.8	11.9	18.8	37.0	30.6
14	10	2018	Gasteiz	21.7	10.4	16.1	35.0	32.6
14	10	2018	Iruña	22.0	11.4	16.7	40.0	7.8
14	10	2018	Reus	24.9	16.5	20.7	26.0	75.7
14	10	2018	Tarragona	24.9	17.2	21.1	0.0	74.6
14	10	2018	Vigo	15.6	9.4	12.5	27.0	8.4
21	3	2018	Donostia	11.7	4.0	7.8	33.0	0.0
21	3	2018	Bilbo	10.3	2.9	6.6	28.0	6.0
21	3	2018	Gasteiz	8.0	0.5	4.3	39.0	0.0
21	3	2018	Iruña	7.2	0.1	3.6	47.0	0.0
21	3	2018	Alforja	12.8	0.7	6.8	36.0	0.0
21	3	2018	Reus	16.1	3.3	9.7	38.0	0.0
21	3	2018	Tarragona	16.9	2.4	9.6	20.0	0.0
21	3	2018	Vigo	14.8	1.7	8.3	28.0	0.0
15	2	2018	Donostia	20.9	7.5	14.2	13.0	0.0
15	2	2018	Bilbo	21.2	9.5	15.4	19.0	0.0
15	2	2018	Gasteiz	14.3	9.2	11.8	38.0	0.0
15	2	2018	Iruña	14.7	2.6	8.6	18.0	0.0
15	2	2018	Alforja	19.3	8.6	13.9	32.0	0.0
15	2	2018	Reus	19.4	5.8	12.6	17.0	0.0
15	2	2018	Tarragona	18.5	8.7	13.6	10.0	0.0
15	2	2018	Vigo	13.2	11.8	12.5	23.0	20.5
24	3	2018	Donostia	13.8	7.8	10.8	34.0	26.8
24	3	2018	Bilbo	11.8	6.6	9.2	37.0	7.4
24	3	2018	Gasteiz	10.0	0.0	5.0	37.0	4.0
24	3	2018	Iruña	10.4	1.2	5.8	28.0	6.2
24	3	2018	Alforja	10.9	3.9	7.4	35.0	19.4
24	3	2018	Reus	11.9	7.0	9.4	38.0	5.3
24	3	2018	Tarragona	12.3	7.7	10.0	17.0	10.8
24	3	2018	Vigo	11.7	5.7	8.7	32.0	9.0
4	7	2018	Donostia	26.3	20.3	23.3	19.0	0.0
